Time (Years),Probability
0.4136986301369863,0.28102795457152036
1.241095890410959,0.26145952670664996
2.068493150684932,0.18289846461044107
2.8958904109589043,0.10992215777436636
3.7232876712328773,0.07231950556473499
4.55068493150685,0.050501301775524025
5.378082191780822,0.034022593621233665
6.205479452054795,0.022400481340951666
7.032876712328767,0.01746609193811467
7.860273972602741,0.017214514668657484
8.687671232876713,0.0168037273188294
9.515068493150686,0.01730455530986579
10.342465753424658,0.017194337055160786
11.169863013698631,0.01685200889379952
11.997260273972604,0.014606230128707215
12.824657534246576,0.01355108270152224
13.652054794520549,0.012642245936004298
14.479452054794521,0.011280297669881374
15.306849315068494,0.00938531887901145
16.134246575342466,0.0077051329240742155
16.961643835616442,0.006227602082658131
17.78904109589041,0.004252436134376812
18.616438356164387,0.0025517843727658985
19.443835616438356,0.0021859541081212085
20.271232876712332,0.0014787265468455706
21.0986301369863,0.0014560097247934098
21.926027397260277,0.0009131729370084268
22.753424657534246,0.0005440109621561985
23.580821917808223,0.0009858129384018976
24.40821917808219,0.001456232327000546
